Mass-to-charge,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
742.251,1072,0,510,766,561,563
742.2778,1431,0,817,1431,1175,204
742.3046,1227,0,562,1175,1482,0
742.3314,817,0,153,715,1328,0
742.3582,204,0,153,409,1175,51
742.385,358,0,204,715,1638,102
742.4118,409,102,153,663,1585,0
742.4386,408,307,102,1175,1278,0
742.4653,663,357,357,1534,1330,0
742.4921,1021,255,613,1636,1791,0
742.5189,1226,51,614,1277,2097,0
742.5457,1124,102,409,1329,2198,51
742.5725,714,0,153,817,1686,0
742.5993,919,204,153,969,1431,0
742.6261,1174,256,408,1636,1124,0
742.6529,1277,204,870,2351,919,0
742.6797,919,51,817,1890,1176,0
742.7065,561,204,460,1431,1431,51
742.7333,714,510,306,1073,1483,307
742.7601,766,766,153,1482,2148,460
742.7869,511,921,102,2045,2045,358
742.8137,715,1330,102,2249,1788,51
742.8405,459,1125,255,2094,1585,153
742.8673,562,767,408,1531,1175,459
742.8941,460,255,408,1020,306,358
742.9209,408,0,204,1532,204,153
742.9477,255,0,255,970,306,0
742.9746,204,153,1022,816,255,102
743.0014,306,510,1532,920,102,460
743.0282,971,869,1532,817,460,562
743.055,1432,664,1072,664,614,256
743.0818,1788,409,766,1278,921,0
743.1086,1890,102,766,1072,613,0
743.1354,1788,153,1432,868,306,0
743.1622,1278,255,1174,460,357,0
743.189,1380,255,818,512,357,0
743.2158,1072,153,766,562,511,0
743.2426,1225,256,1072,612,971,0
743.2694,1481,204,919,562,1073,0
743.2962,1738,102,561,562,1022,0
743.3231,1635,51,255,561,1227,0
743.3499,2095,0,714,612,1227,0
743.3767,1941,153,1021,408,1483,0
743.4035,1480,510,920,510,1738,0
743.4303,1327,715,204,919,1789,153
743.4571,1533,562,51,1329,2097,255
743.4839,1328,255,204,1125,2965,204
743.5107,1276,307,102,1532,3427,153
743.5376,969,307,153,2044,2761,153
743.5644,766,255,102,2454,2453,0
743.5912,561,204,460,1840,1943,0
743.618,817,511,972,1532,1636,0
743.6448,970,409,920,2250,918,0
743.6716,716,204,613,3681,869,0
743.6985,204,153,613,3119,715,102
743.7253,102,306,817,2045,459,153
743.7521,102,408,1125,1942,408,153
743.7789,306,664,1124,2147,767,51
743.8057,511,562,612,1124,1023,0
743.8326,1021,613,510,561,1329,306
743.8594,1432,460,153,408,1482,357
743.8862,1739,358,306,561,1074,306
743.913,1278,255,306,816,460,460
743.9398,817,562,306,919,563,563
743.9667,612,563,306,868,716,409
743.9935,817,511,972,664,1278,51
744.0203,562,255,1943,664,1585,0
744.0471,459,562,2710,766,1380,0
744.074,561,614,2352,664,715,0
744.1008,766,562,1737,818,510,102
744.1276,817,358,1329,970,562,204
744.1544,1021,153,818,919,715,306
744.1813,868,357,1072,970,613,204
744.2081,919,562,1329,1176,818,102
744.2349,766,459,971,1021,665,0
744.2617,1073,256,408,971,664,0
744.2886,1174,255,613,970,1023,0
744.3154,1022,102,716,715,1535,0
744.3422,867,51,818,511,1279,0
744.3691,1277,0,817,255,920,0
744.3959,1278,408,664,357,511,0
744.4227,1175,767,408,511,817,51
744.4496,1124,613,306,510,1021,153
744.4764,1174,255,613,511,1841,153
744.5032,1072,102,920,766,2199,0
744.5301,664,255,715,1329,2250,0
744.5569,613,204,153,2044,1790,0
744.5837,715,153,306,2760,1483,0
744.6106,510,0,459,2706,766,0
744.6374,358,153,357,2914,459,0
744.6642,255,306,255,2608,562,0
744.6911,153,459,307,2198,869,51
744.7179,255,357,255,1124,868,102
744.7447,409,511,153,1123,869,51
744.7716,817,511,357,1226,1022,255
744.7984,869,818,409,1636,1074,460
744.8252,613,716,255,1685,511,409
744.8521,562,459,102,1737,664,715
744.8789,511,204,102,1892,767,869
744.9058,767,51,102,2147,1125,819
744.9326,1381,51,357,2147,1125,409
744.9594,1381,204,867,1941,614,256
744.9863,919,204,867,1431,511,102
745.0131,357,256,664,1021,613,102
745.04,153,307,511,918,511,153
745.0668,102,409,768,1021,511,51
745.0937,765,153,409,868,870,0
745.1205,1482,51,153,920,1329,102
745.1473,1738,0,102,613,1278,102
745.1742,1124,0,51,510,920,0
745.201,868,51,0,357,869,153
745.2279,1482,0,51,460,562,307
745.2547,1582,0,153,255,767,358
745.2816,1582,51,460,255,767,204
745.3084,1123,0,409,408,767,51
745.3353,867,0,357,614,1380,0
745.3621,1021,0,357,459,1636,0
745.389,1328,0,563,612,1891,0
745.4158,1634,0,1021,918,1995,0
745.4427,1942,255,919,714,1941,0
745.4695,1684,306,868,306,1737,0
745.4964,1277,408,1124,460,2250,0
745.5232,1327,307,817,562,1839,0
745.5501,1227,358,1021,969,1534,0
745.5769,919,153,1278,1637,1329,0
745.6038,1023,0,1227,2403,1381,0
745.6306,1175,102,408,2402,1228,0
745.6575,1124,306,153,3682,1228,0
745.6843,1021,561,358,5061,1072,102
745.7112,1432,715,307,5319,1022,102
745.738,1175,715,204,3783,510,255
745.7649,767,1175,255,2606,511,716
745.7917,867,1175,255,1480,664,1125
745.8186,1429,1175,153,1890,818,1177
745.8455,1431,971,102,1788,561,715
745.8723,1994,664,102,1636,357,715
745.8992,1637,408,153,1380,204,817
745.926,1125,255,256,1278,357,868
745.9529,664,153,306,920,817,306
745.9797,869,153,919,562,1329,102
746.0066,1277,0,1840,1021,1482,0
746.0335,1788,0,2658,1635,1482,102
746.0603,1890,51,3374,1585,971,102
746.0872,2453,153,3273,1071,716,0
746.114,2506,255,2145,663,511,51
746.1409,1993,153,1327,665,613,256
746.1678,1429,51,970,357,561,409
746.1946,1838,51,612,409,255,409
746.2215,2350,153,613,408,51,204
746.2484,1992,255,920,357,204,204
746.2752,1072,357,817,255,510,153
746.3021,459,204,613,510,1174,51
746.3289,765,51,612,1073,1225,0
746.3558,1072,102,561,1330,1125,51
746.3827,1021,204,357,969,971,255
746.4095,867,153,561,612,1176,255
746.4364,510,102,561,511,1431,102
746.4633,716,153,562,969,1176,0
746.4902,766,306,716,1123,921,0
746.517,1021,510,1227,1328,869,0
746.5439,1839,409,766,664,1021,0
746.5708,2659,511,307,715,1381,51
746.5976,1481,459,51,817,1688,0
746.6245,561,868,255,1686,1279,0
746.6514,612,818,511,2657,665,0
746.6782,816,562,665,3221,921,0
746.7051,459,255,561,2964,664,51
746.732,459,511,255,2657,357,0
746.7589,613,408,153,1736,102,0
746.7857,1329,306,153,1174,357,51
746.8126,1380,204,153,818,614,102
746.8395,1277,357,357,920,1023,255
746.8664,408,153,919,816,1073,510
746.8932,51,51,1072,766,767,715
746.9201,306,102,715,153,358,510
746.947,715,357,255,204,357,408
746.9739,1124,357,153,459,818,409
747.0007,1379,459,460,766,1126,255
747.0276,1124,306,818,612,768,0
747.0545,1125,153,1584,766,307,0
747.0814,1637,51,1993,1176,358,0
747.1083,1636,0,2044,1329,818,0
747.1351,1123,102,1533,1022,664,0
747.162,1124,153,1328,715,357,0
747.1889,817,153,1072,562,408,0
747.2158,663,256,1073,409,664,0
747.2427,971,358,818,357,510,0
747.2695,1635,459,153,307,562,0
747.2964,1583,511,0,408,409,0
747.3233,1482,358,255,357,358,51
747.3502,1073,204,204,306,204,358
747.3771,919,307,204,408,102,665
747.404,613,307,153,612,408,512
747.4308,920,204,153,715,1175,102
747.4577,971,0,0,561,1431,0
747.4846,920,0,0,459,1635,0
747.5115,714,0,102,408,1022,0
747.5384,663,153,511,561,1022,0
747.5653,510,306,613,869,1023,0
747.5922,460,306,562,1328,1328,0
747.619,408,0,459,1327,1124,0
747.6459,510,0,409,1737,920,51
747.6728,817,204,255,1839,153,153
747.6997,1225,562,255,1736,153,102
747.7266,970,459,306,1941,204,51
747.7535,1124,562,204,2453,460,0
747.7804,1073,767,51,2453,408,0
747.8073,767,1072,153,1584,409,51
747.8342,919,1023,613,766,563,204
747.8611,817,766,919,715,614,460
747.888,562,204,818,767,715,663
747.9149,767,153,816,561,767,510
747.9417,1023,306,869,613,614,306
747.9686,1636,357,1021,818,409,51
747.9955,1892,102,1379,459,306,0
748.0224,1943,0,1379,255,765,0
748.0493,1635,0,714,204,868,51
748.0762,1686,0,867,255,459,102
748.1031,1635,0,1429,561,357,0
748.13,1582,0,1736,561,563,0
748.1569,1072,0,1125,612,510,0
748.1838,1125,0,664,664,663,0
748.2107,970,0,459,357,715,0
748.2376,816,0,562,357,664,0
748.2645,765,0,357,510,459,0
748.2914,612,51,153,561,459,0
748.3183,612,204,255,255,357,0
748.3452,459,306,408,51,664,0
748.3721,460,306,409,51,1073,102
748.399,714,460,460,51,1278,102
748.4259,970,511,460,153,1124,0
748.4528,919,459,614,51,970,0
748.4797,715,204,563,51,460,0
748.5066,971,51,255,153,817,0
748.5335,612,0,153,511,1072,0
748.5604,561,0,307,971,1073,0
748.5874,817,0,204,1482,715,102
748.6143,1022,102,204,2300,459,307
748.6412,664,0,255,2197,204,307
748.6681,511,0,357,2348,306,204
748.695,767,51,613,2300,511,0
748.7219,1022,51,970,2557,766,0
748.7488,613,102,408,1739,868,0
748.7757,357,102,51,1022,1022,0
748.8026,613,51,153,817,920,0
748.8295,921,0,255,614,971,0
748.8564,664,102,306,408,459,0
748.8833,766,613,510,255,306,0
748.9103,868,767,561,204,307,153
748.9372,869,665,562,358,460,256
748.9641,767,255,255,715,460,204
748.991,716,511,255,971,817,0
749.0179,971,562,510,1022,766,0
749.0448,1277,460,919,1225,511,51
749.0717,1327,307,2147,1380,510,0
749.0987,1275,153,2606,1483,510,0
749.1256,816,256,1226,1328,972,153
749.1525,869,358,204,970,1074,307
749.1794,972,102,153,459,716,153
749.2063,1074,204,204,562,459,0
749.2332,970,409,255,664,459,0
749.2602,971,614,510,766,357,0
749.2871,1125,715,409,715,306,0
749.314,613,408,255,460,306,0
749.3409,204,153,51,664,306,0
749.3678,357,0,306,869,663,204
749.3948,306,0,511,459,817,204
749.4217,306,51,613,510,920,153
749.4486,306,51,511,357,460,0
749.4755,816,102,459,357,459,0
749.5024,1635,0,408,459,561,0
749.5294,1892,51,614,562,357,0
749.5563,1124,102,665,459,510,0
749.5832,510,153,409,255,715,0
749.6101,204,51,102,255,919,0
749.6371,409,0,357,255,970,0
749.664,460,255,563,613,766,51
749.6909,358,511,766,971,868,153
749.7178,306,409,459,1073,817,102
749.7448,408,255,357,1226,511,153
749.7717,357,408,459,920,51,460
749.7986,153,715,408,767,0,563
749.8255,357,562,0,357,153,358
749.8525,868,716,153,459,613,459
749.8794,1175,460,255,510,715,613
749.9063,1277,307,357,255,716,358
749.9333,1072,102,255,306,665,51
749.9602,817,153,460,460,613,51
749.9871,409,255,766,408,204,102
750.0141,408,306,1074,715,204,153
750.041,255,51,1124,1073,357,51
750.0679,408,51,919,1328,664,0
750.0948,459,102,459,1022,1228,0
750.1218,867,408,255,1021,1381,0
750.1487,1123,869,255,612,971,0
750.1757,1788,1073,153,409,460,0
750.2026,1277,562,0,357,51,51
750.2295,868,459,51,409,102,0
750.2565,459,409,255,511,255,0
750.2834,357,460,510,612,510,0
750.3103,357,204,408,920,817,51
750.3373,102,51,153,1125,1227,0
750.3642,204,256,204,817,816,102
750.3911,409,409,153,817,511,153
750.4181,817,255,153,869,460,153
750.445,1125,102,255,1021,612,204
750.472,1124,0,51,664,715,51
750.4989,1892,51,102,409,613,0
750.5258,1789,153,102,306,357,0
750.5528,1073,256,51,715,663,0
750.5797,511,102,204,1071,767,0
750.6067,920,357,613,1277,511,51
750.6336,1176,306,715,1124,715,0
750.6606,1329,306,716,1175,1073,0
750.6875,664,358,409,868,1585,0
750.7144,460,510,255,767,1432,0
750.7414,408,153,153,817,971,153
750.7683,510,255,255,970,920,153
750.7953,561,306,306,920,613,153
750.8222,868,255,459,818,511,256
750.8492,765,0,767,970,613,256
750.8761,1123,153,868,1021,1278,102
750.9031,1278,255,766,459,1175,51
750.93,1585,358,920,459,1022,153
750.957,1533,511,1020,562,459,256
750.9839,1533,614,1481,664,0,204
751.0109,1073,307,1124,510,0,0
751.0378,1021,0,1022,306,0,0
751.0648,1123,0,970,409,51,0
751.0917,1532,0,1176,511,511,0
751.1187,869,256,562,510,920,0
751.1456,510,460,204,766,972,0
751.1726,357,307,358,1075,561,204
751.1995,715,102,460,1177,357,307
751.2265,868,102,204,613,408,256
751.2534,612,102,306,510,613,51
751.2804,409,358,306,766,767,0
751.3073,767,562,460,971,818,102
751.3343,971,459,716,818,460,102
751.3612,1278,613,664,460,306,0
751.3882,1583,767,306,204,561,0
751.4152,1788,460,153,510,714,0
751.4421,1123,102,153,766,715,0
751.4691,869,51,51,868,1023,0
751.496,869,0,51,1021,1227,0
751.523,818,0,0,1226,1227,0
751.5499,409,0,0,1021,920,0
751.5769,460,102,102,1635,817,0
751.6039,1022,153,153,1482,971,153
751.6308,1432,358,255,1482,1176,153
751.6578,1380,512,408,765,1023,0
751.6847,1175,512,561,459,1021,0
751.7117,1124,306,408,714,715,0
751.7387,1175,460,459,1327,614,0
751.7656,1174,307,306,1584,919,408
751.7926,1431,306,460,1687,1125,818
751.8196,714,408,562,1175,919,562
751.8465,459,1022,715,510,1177,153
751.8735,612,919,510,255,1175,0
751.9005,767,562,612,256,766,102
751.9274,511,102,816,357,460,204
751.9544,153,0,1226,817,818,255
751.9814,51,102,970,562,818,102
752.0083,613,357,1174,510,869,51
752.0353,1279,306,1073,765,510,0
752.0623,1584,102,868,663,306,0
752.0892,1481,153,714,255,612,0
752.1162,1994,408,766,255,715,0
752.1432,1942,408,715,255,664,0
752.1701,1686,255,868,561,563,0
752.1971,1124,0,663,1072,358,153
752.2241,1022,102,255,1226,358,255
752.2511,1533,409,204,459,716,153
752.278,1891,767,511,664,869,0
752.305,1738,614,459,1174,562,0
752.332,1124,357,357,1227,409,0
752.3589,817,307,409,716,357,0
752.3859,1072,307,562,919,1022,0
752.4129,1533,51,510,1074,1073,0
752.4399,1381,51,460,1278,1226,51
752.4668,664,0,306,1227,1023,256
752.4938,715,102,153,1022,613,460
752.5208,1074,307,255,920,510,358
752.5478,1534,563,256,1021,868,153
752.5747,920,511,255,818,1074,0
752.6017,664,409,357,1072,1228,0
752.6287,715,357,357,1174,920,0
752.6557,920,153,408,1123,510,0
752.6827,920,204,204,867,255,0
752.7096,921,307,153,867,153,0
752.7366,1073,153,204,970,408,0
752.7636,1073,51,204,1174,561,153
752.7906,971,51,306,1022,408,357
752.8176,1073,0,409,817,511,665
752.8445,970,0,358,664,715,409
752.8715,1482,51,357,510,920,255
752.8985,1123,510,357,204,716,562
752.9255,306,1073,255,255,510,614
752.9525,51,1226,357,307,664,307
752.9795,510,765,561,612,1227,0
753.0065,1073,51,459,714,1431,0
753.0334,1736,306,561,766,1226,102
753.0604,1891,511,562,306,869,102
753.0874,2299,511,511,357,665,51
753.1144,2196,153,663,868,664,0
753.1414,2607,102,766,1431,664,0
753.1684,2502,153,459,1277,818,51
753.1954,1890,153,306,1021,664,204
753.2224,1430,51,306,765,408,307
753.2493,1736,153,102,510,510,306
753.2763,1021,255,102,102,562,51
753.3033,1480,409,256,153,511,0
753.3303,2097,357,307,510,307,0
753.3573,2198,307,255,868,409,0
753.3843,1481,102,204,816,817,0
753.4113,1175,255,562,817,1380,0
753.4383,1174,408,613,970,1482,102
753.4653,1482,460,562,1072,1225,102
753.4923,1483,153,357,663,920,0
753.5193,1739,51,306,920,1021,102
753.5463,1175,102,459,1123,1328,204
753.5733,766,204,562,1431,1532,204
753.6002,969,255,562,1278,1534,102
753.6272,1379,153,612,1534,1791,256
753.6542,1021,408,459,1840,1381,307
753.6812,562,665,306,3375,1072,204
753.7082,408,972,306,4040,510,0
753.7352,357,1072,460,4039,408,0
753.7622,561,766,306,2300,510,0
753.7892,561,357,102,1277,665,0
753.8162,306,51,102,1022,563,153
753.8432,153,153,204,919,358,357
753.8702,408,612,153,1327,307,357
753.8972,510,1174,918,2044,715,153
753.9242,409,1227,1583,1890,818,51
753.9512,459,1074,2299,1534,921,357
753.9782,358,562,2504,1329,459,613
754.0052,613,357,3015,817,612,563
754.0322,716,613,2658,920,715,307
754.0593,1125,920,1942,1279,511,102
754.0863,1584,920,1021,1227,306,0
754.1133,2094,870,255,1278,307,0
754.1403,2400,358,255,1022,408,0
754.1673,2607,0,459,971,665,0
754.1943,2043,0,510,766,562,0
754.2213,1329,102,869,970,255,0
754.2483,868,204,869,715,357,0
754.2753,714,153,510,459,765,0
754.3023,765,102,306,613,1533,51
754.3293,1073,51,868,1022,2251,0
754.3563,1124,51,664,1226,1533,0
754.3833,1328,51,306,1226,1022,0
754.4103,1379,51,153,766,1533,0
754.4374,1839,204,204,817,2198,0
754.4644,1993,358,102,255,1686,0
754.4914,2301,613,255,204,1585,102
754.5184,1432,306,204,459,1839,153
754.5454,918,255,204,919,2148,153
754.5724,663,408,153,1224,2096,0
754.5994,919,715,255,1380,1586,51
754.6264,970,818,561,1636,1380,153
754.6535,1379,715,868,2095,1790,255
754.6805,1534,665,510,2454,1738,102
754.7075,1023,1073,51,3066,1432,51
754.7345,459,971,0,2401,1073,0
754.7615,306,868,102,2145,1176,0
754.7885,357,664,306,1431,1381,102
754.8156,460,817,409,1480,971,256
754.8426,512,306,408,1787,613,460
754.8696,614,357,306,2606,767,664
754.8966,460,664,510,2555,1330,870
754.9236,818,818,664,2658,1432,1075
754.9507,1328,511,1687,2096,1175,614
754.9777,2197,204,2760,1329,1330,255
755.0047,2863,408,2659,1124,1432,153
755.0317,4599,919,1993,1739,1381,0
755.0587,7005,765,1124,1891,613,0
755.0858,11200,511,1175,1738,459,51
755.1128,13452,459,971,1175,204,153
755.1398,14376,408,869,919,408,153
755.1668,12683,408,663,562,510,0
755.1939,12891,307,561,868,561,0
755.2209,10841,102,153,1431,306,0
755.2479,10028,102,306,1738,715,0
755.2749,8542,51,562,2096,1431,0
755.302,7313,51,715,2301,2403,0
755.329,7006,204,664,1994,3785,51
755.356,6955,408,459,1380,6293,51
755.383,5882,306,357,715,8034,0
755.4101,5522,204,255,1020,11257,0
755.4371,5367,102,102,1327,13665,0
755.4641,5623,51,357,1942,16940,0
755.4912,4345,102,459,1992,17863,0
755.5182,3681,255,613,3066,16737,0
755.5452,3170,204,767,4652,12845,0
755.5723,3527,204,614,9768,8544,102
755.5993,2965,408,357,18012,4756,204
755.6263,3273,1073,306,28200,2913,307
755.6533,2607,1788,204,30708,2608,102
755.6804,1533,4091,204,28812,1840,0
755.7074,1532,6088,306,21234,1072,358
755.7344,2403,7775,306,14888,1380,920
755.7615,1944,7210,714,9356,1636,1993
755.7885,1125,7161,970,6493,1839,3272
755.8156,766,6291,562,4241,2353,4961
755.8426,1020,6036,460,4189,2967,5778
755.8696,1225,4347,613,4344,2453,3989
755.8967,1686,3272,868,4757,2044,3118
755.9237,1276,2300,2401,4394,1687,2302
755.9507,1072,1943,6546,3885,1481,2045
755.9778,1788,1840,12996,2606,1023,1226
756.0048,2964,1533,21187,2350,562,664
756.0319,2351,970,23490,1533,614,255
756.0589,1737,766,22468,1839,869,51
756.0859,1993,562,15250,1327,869,0
756.113,3221,510,9771,1123,970,0
756.14,5267,816,5523,1020,767,0
756.1671,6904,766,3885,1634,408,0
756.1941,7514,357,3375,2299,306,0
756.2211,7210,510,2964,1944,1124,0
756.2482,6031,1073,2656,971,1534,0
756.2752,5009,1586,2350,408,2558,0
756.3023,3374,1125,1991,409,2710,102
756.3293,3579,971,2501,460,3632,256
756.3564,3935,869,2298,1072,3529,307
756.3834,4345,715,2096,1328,3938,256
756.4105,3474,153,1892,1174,5831,0
756.4375,3321,0,1380,1480,7622,153
756.4645,3680,51,510,1890,7776,204
756.4916,4448,102,357,2759,8185,102
756.5186,3425,357,255,3017,7472,51
756.5457,2505,562,561,2964,7164,51
756.5727,2043,562,970,3732,5064,0
756.5998,2351,714,1329,6086,4143,51
756.6268,1941,1071,1429,8949,3683,102
756.6539,1429,1379,1278,11511,4604,306
756.6809,1788,1789,714,12533,4399,306
756.708,2658,2403,613,11716,3888,358
756.735,2353,2249,511,7978,3273,307
756.7621,2299,1840,612,7057,3478,255
756.7892,2557,2044,869,6340,2711,561
756.8162,2761,2811,1276,5369,2659,971
756.8433,2095,2862,919,4192,3122,1329
756.8703,1277,2607,1226,4703,2762,1585
756.8974,664,2350,1328,4397,1892,1635
756.9244,1431,2964,1533,4243,1636,1737
756.9515,1943,2606,2555,2657,1175,869
756.9785,2913,2810,5113,2505,868,256
757.0056,4549,2608,8237,2044,919,51
757.0327,7978,2248,10797,1837,663,0
757.0597,12893,1174,8696,2298,204,51
757.0868,21388,818,7674,2656,664,153
757.1138,30041,306,5370,2606,1379,307
757.1409,38435,51,4090,3268,1789,460
757.1679,39771,357,2403,2861,1635,460
757.195,40281,1023,2146,2658,1994,255
757.2221,35570,1278,1890,1839,2353,51
757.2491,30039,921,1993,1943,2659,0
757.2762,23536,102,1892,1839,3837,0
757.3033,19390,102,1583,1583,6806,0
757.3303,16833,102,867,1021,11003,0
757.3574,17961,153,818,1175,15918,0
757.3844,16938,409,1022,1533,20680,0
757.4115,16480,664,1330,1790,27692,0
757.4386,15455,510,1331,1941,35528,51
757.4656,16375,255,1329,2913,43000,51
757.4927,16118,766,970,4292,44074,0
757.5198,14791,1534,1278,7007,40643,0
757.5468,10539,1638,920,10740,32403,0
757.5739,7981,1329,510,20980,24925,0
757.601,5833,1225,357,38799,16939,51
757.628,5269,2045,409,63626,11003,51
757.6551,3889,5164,716,84409,7879,51
757.6822,2404,9722,767,93420,7571,358
757.7092,1789,12688,766,78318,7570,613
757.7363,1892,15504,613,56454,6857,1124
757.7634,1686,15454,766,37715,5372,2096
757.7905,1533,16066,817,26349,5065,4348
757.8175,1123,14839,816,13705,5117,7213
757.8446,1687,12536,971,8283,5680,11206
757.8717,1633,9619,1275,7262,4604,12231
757.8987,1686,7521,2093,8030,2710,10438
757.9258,1839,6190,6087,7825,2045,5267
757.9529,2246,5680,14586,6849,3274,2349
757.98,3219,4197,28971,4653,2763,1021
758.007,4856,3581,52419,4604,1686,510
758.0341,5370,3784,73512,2606,612,561
758.0612,8541,3733,81193,2094,562,613
758.0883,11507,2863,63988,1941,1226,408
758.1153,14273,2504,39415,3270,1686,358
758.1424,14325,2094,17244,3423,1637,204
758.1695,15347,1328,8390,2708,1483,153
758.1966,16264,816,4855,2504,1073,460
758.2236,15860,561,3476,2555,1125,972
758.2507,13352,409,2096,2452,1584,1023
758.2778,13249,562,1635,2301,3220,562
758.3049,11716,358,2351,1738,5015,153
758.332,9924,511,3632,408,7368,102
758.359,8441,459,3272,867,8086,0
758.3861,9617,562,2862,1584,9776,0
758.4132,8951,459,2300,2198,13102,0
758.4403,8949,307,1636,3372,18272,102
758.4674,7416,307,970,4295,21292,102
758.4945,8493,255,664,5369,23240,153
758.5215,8340,102,920,5370,22880,256
758.5486,8184,153,1432,7979,21241,460
758.5757,7468,306,1023,11921,18118,614
758.6028,6496,1175,613,18576,14789,870
758.6299,5471,1838,204,27069,11003,818
758.657,5728,2761,153,37310,7777,612
758.6841,4450,3528,0,41197,5884,306
758.7111,3273,5163,51,38791,6548,204
758.7382,2914,6750,408,28756,7880,766
758.7653,3887,8441,510,20517,6651,1994
758.7924,3425,7980,1481,16524,4451,3885
758.8195,2147,7417,3834,15037,3221,5678
758.8466,1327,5059,5370,10690,2198,6396
758.8737,1176,3272,5777,7873,1636,7162
758.9008,1890,2299,4243,5417,1636,7007
758.9279,2094,2351,5473,4189,2300,5216
758.955,3014,2657,8491,3885,2864,3221
758.982,4192,3172,12740,4191,2965,1942
759.0091,5980,2966,18988,4550,2148,714
759.0362,9975,2403,29582,5165,2098,51
759.0633,13249,1584,35420,4191,1431,0
759.0904,17959,1023,32244,4293,971,0
759.1175,23587,1124,19856,2912,562,0
759.1446,33573,1482,11152,2863,664,204
759.1717,40892,2148,7263,2607,511,256
759.1988,45448,2915,5574,2656,664,256
759.2259,42580,2658,3577,2350,1687,204
759.253,37767,1739,3068,1683,2915,51
759.2801,29785,1124,3220,1736,3581,0
759.3072,23689,1073,4348,2554,6241,0
759.3343,18729,357,3632,2146,9467,0
759.3614,17193,255,3068,1380,13510,0
759.3885,15300,0,1992,1022,17505,51
759.4156,15248,51,1431,1684,25183,51
759.4427,15302,357,1789,3013,33737,51
759.4698,17093,562,1994,4243,42489,0
759.4969,17707,613,1635,6135,45611,0
759.524,16171,766,1993,8949,44125,0
759.5511,12433,714,1226,13659,37162,51
759.5782,9566,969,1328,24256,30456,459
759.6053,8544,1533,1175,38948,21801,612
759.6324,8440,1891,1430,60450,15456,612
759.6595,8850,3888,1174,83693,12128,612
759.6866,7980,8799,1174,101922,10490,714
759.7137,5730,13867,1174,97362,7518,613
759.7408,5165,18522,1379,78828,6802,920
759.7679,4347,19140,919,53228,6702,1945
759.795,3528,19649,562,35308,6038,3837
759.8221,2965,18063,1277,22917,4143,6088
759.8492,2760,16373,2658,16219,4092,9107
759.8764,2401,12381,3322,12942,4501,11769
759.9035,2350,10898,3888,10484,4602,14739
759.9306,2400,8443,5828,7874,3836,14890
759.9577,3934,7419,12790,7463,3323,11154
759.9848,4038,6191,26562,6086,1994,4754
760.0119,4705,5935,50628,6904,1943,1277
760.039,5165,5064,75306,6444,1890,613
760.0661,6644,4295,92355,5933,2454,409
760.0932,8589,3938,86517,5266,2762,306
760.1204,10229,3171,64757,4498,2248,204
760.1475,12378,1635,35777,3118,1584,204
760.1746,17548,868,13660,3069,2149,204
760.2017,19287,562,5318,2759,1994,0
760.2288,19491,716,2557,2452,2044,51
760.2559,16676,715,2298,2199,2096,153
760.283,14322,970,3374,2145,3068,204
760.3102,11147,1022,4448,1582,4449,51
760.3373,10639,1227,4448,919,6549,51
760.3644,10386,1073,4294,664,8955,51
760.3915,9823,715,4347,1276,12538,204
760.4186,7467,459,2864,3067,14894,307
760.4457,7263,255,2402,5422,16941,204
760.4729,6599,204,1891,6803,17196,51
760.5,6805,562,2403,8080,18220,0
760.5271,6753,562,2198,7671,17862,0
760.5542,6598,561,1737,8233,16479,0
760.5813,5473,459,1226,9823,12998,51
760.6085,5626,663,2146,16424,10643,358
760.6356,5423,817,1686,24768,6855,358
760.6627,5933,1737,612,35259,3784,358
760.6898,4398,2964,255,39456,2812,460
760.7169,2813,5012,306,40378,3579,971
760.7441,1635,6649,255,32597,3323,1328
760.7712,2097,8081,204,21743,3067,1380
760.7983,2045,9006,357,12939,3169,1839
760.8254,1532,8491,1890,8590,4756,3936
760.8526,663,5521,4141,5262,3939,7006
760.8797,1072,4038,7006,4035,3477,9822
760.9068,1840,3987,6241,2655,2455,9924
760.9339,2504,3885,5521,3730,2608,7877
760.9611,2655,2965,6494,4599,2866,4244
760.9882,2605,2454,11052,4394,2762,1890
761.0153,1940,2453,18780,3832,1995,919
761.0425,2504,2610,28508,4653,2251,664
761.0696,3782,1789,31991,4448,1637,153
761.0967,4702,1227,30812,3937,1278,0
761.1239,5418,868,21136,2350,1585,51
761.151,7005,919,12230,1891,1739,51
761.1781,7157,510,6802,1584,1996,0
761.2052,6440,665,4143,1482,2404,51
761.2324,5726,562,2759,867,2609,204
761.2595,5980,613,2710,613,3323,307
761.2866,4958,511,3170,868,3171,204
761.3138,5880,408,3222,1634,3067,51
761.3409,5982,255,2454,1430,2607,0
761.368,6391,357,2095,1431,3938,0
761.3952,5726,459,2504,1480,5677,0
761.4223,5420,561,2607,1839,7162,0
761.4495,3630,510,1840,1992,7523,0
761.4766,3526,510,1226,2810,8443,51
761.5037,2862,153,562,3577,7982,102
761.5309,3681,51,306,4808,6857,307
761.558,4707,153,510,4601,5116,409
761.5851,5320,357,510,4958,4297,256
761.6123,3324,510,612,5728,4553,0
761.6394,2402,510,1328,8795,4656,51
761.6666,2813,868,1430,13200,3476,255
761.6937,2863,1890,1124,16630,2812,459
761.7208,1481,3066,612,16170,2402,408
